sensor1,sensor2,sensor3,sensor4,labels
498,419,515,480,Lhemiplegia
498,419,514,474,Lhemiplegia
497,422,513,471,Lhemiplegia
496,434,509,473,Lhemiplegia
507,475,501,492,Lhemiplegia
511,488,492,496,Lhemiplegia
516,490,486,497,Lhemiplegia
520,466,481,500,Lhemiplegia
521,446,478,504,Lhemiplegia
521,438,475,506,Lhemiplegia
521,431,473,506,Lhemiplegia
520,428,471,507,Lhemiplegia
519,423,471,506,Lhemiplegia
516,422,512,506,Lhemiplegia
511,421,516,506,Lhemiplegia
509,418,516,495,Lhemiplegia
507,416,515,485,Lhemiplegia
505,416,514,478,Lhemiplegia
504,420,513,474,Lhemiplegia
502,437,511,470,Lhemiplegia
502,482,501,477,Lhemiplegia
512,493,495,496,Lhemiplegia
513,494,486,503,Lhemiplegia
513,491,480,508,Lhemiplegia
514,482,476,510,Lhemiplegia
514,459,474,511,Lhemiplegia
512,445,472,512,Lhemiplegia
510,437,471,513,Lhemiplegia
507,432,469,513,Lhemiplegia
505,428,471,513,Lhemiplegia
503,424,500,512,Lhemiplegia
501,422,514,511,Lhemiplegia
500,422,516,502,Lhemiplegia
499,416,515,492,Lhemiplegia
498,416,514,484,Lhemiplegia
497,420,513,478,Lhemiplegia
497,430,510,472,Lhemiplegia
497,483,502,470,Lhemiplegia
507,490,492,495,Lhemiplegia
513,489,485,502,Lhemiplegia
517,485,479,502,Lhemiplegia
519,462,476,501,Lhemiplegia
522,444,474,502,Lhemiplegia
522,435,471,502,Lhemiplegia
523,430,470,504,Lhemiplegia
523,425,469,505,Lhemiplegia
523,421,474,503,Lhemiplegia
521,421,515,503,Lhemiplegia
515,427,517,500,Lhemiplegia
512,421,516,491,Lhemiplegia
510,429,514,481,Lhemiplegia
507,464,512,475,Lhemiplegia
505,483,508,471,Lhemiplegia
504,489,496,469,Lhemiplegia
502,493,487,468,Lhemiplegia
502,494,482,469,Lhemiplegia
507,494,477,487,Lhemiplegia
512,493,474,505,Lhemiplegia
513,487,471,510,Lhemiplegia
514,466,470,511,Lhemiplegia
513,448,469,513,Lhemiplegia
512,439,468,513,Lhemiplegia
510,433,468,513,Lhemiplegia
507,428,467,512,Lhemiplegia
506,428,510,510,Lhemiplegia
503,424,519,509,Lhemiplegia
502,420,518,499,Lhemiplegia
500,417,517,489,Lhemiplegia
500,417,516,480,Lhemiplegia
499,426,515,475,Lhemiplegia
497,450,513,471,Lhemiplegia
496,472,508,468,Lhemiplegia
497,483,497,467,Lhemiplegia
510,485,489,488,Lhemiplegia
516,485,482,500,Lhemiplegia
520,474,479,504,Lhemiplegia
521,451,476,505,Lhemiplegia
521,438,473,505,Lhemiplegia
521,430,472,506,Lhemiplegia
521,425,470,507,Lhemiplegia
522,421,469,506,Lhemiplegia
522,420,494,505,Lhemiplegia
520,416,519,504,Lhemiplegia
515,415,521,504,Lhemiplegia
512,413,521,495,Lhemiplegia
509,412,521,485,Lhemiplegia
507,410,521,477,Lhemiplegia
506,411,520,477,Lhemiplegia
504,416,519,469,Lhemiplegia
503,419,517,467,Lhemiplegia
517,445,509,500,Lhemiplegia
520,487,499,507,Lhemiplegia
518,470,492,508,Lhemiplegia
518,444,485,509,Lhemiplegia
518,431,482,510,Lhemiplegia
517,424,478,511,Lhemiplegia
516,420,475,511,Lhemiplegia
515,416,473,511,Lhemiplegia
515,414,471,511,Lhemiplegia
516,412,504,509,Lhemiplegia
513,410,513,508,Lhemiplegia
509,410,515,506,Lhemiplegia
508,409,513,497,Lhemiplegia
506,412,513,487,Lhemiplegia
504,414,513,480,Lhemiplegia
502,428,512,474,Lhemiplegia
501,458,509,470,Lhemiplegia
500,477,499,468,Lhemiplegia
505,480,489,482,Lhemiplegia
515,480,483,497,Lhemiplegia
518,473,478,500,Lhemiplegia
520,447,475,502,Lhemiplegia
520,434,473,503,Lhemiplegia
521,427,471,508,Lhemiplegia
521,422,469,508,Lhemiplegia
522,419,469,508,Lhemiplegia
521,416,505,507,Lhemiplegia
516,414,516,506,Lhemiplegia
514,411,516,504,Lhemiplegia
511,408,515,493,Lhemiplegia
508,410,516,483,Lhemiplegia
506,408,516,477,Lhemiplegia
504,417,514,473,Lhemiplegia
502,438,513,469,Lhemiplegia
502,471,507,466,Lhemiplegia
500,482,497,464,Lhemiplegia
499,484,488,465,Lhemiplegia
510,480,482,495,Lhemiplegia
516,479,478,504,Lhemiplegia
518,467,475,505,Lhemiplegia
521,446,472,505,Lhemiplegia
522,433,471,505,Lhemiplegia
523,427,469,505,Lhemiplegia
522,421,468,505,Lhemiplegia
522,417,466,505,Lhemiplegia
523,414,482,505,Lhemiplegia
522,413,509,505,Lhemiplegia
516,413,515,504,Lhemiplegia
513,411,514,495,Lhemiplegia
510,408,513,486,Lhemiplegia
508,409,511,478,Lhemiplegia
506,421,509,473,Lhemiplegia
505,454,505,468,Lhemiplegia
502,478,496,466,Lhemiplegia
501,484,487,464,Lhemiplegia
501,489,481,464,Lhemiplegia
501,488,477,485,Lhemiplegia
513,487,474,501,Lhemiplegia
516,484,471,512,Lhemiplegia
517,459,469,512,Lhemiplegia
516,443,467,512,Lhemiplegia
514,432,466,513,Lhemiplegia
514,428,467,514,Lhemiplegia
513,423,467,514,Lhemiplegia
512,419,509,512,Lhemiplegia
508,419,515,511,Lhemiplegia
507,415,515,501,Lhemiplegia
505,410,513,492,Lhemiplegia
503,409,514,483,Lhemiplegia
501,415,512,475,Lhemiplegia
499,425,511,472,Lhemiplegia
498,452,510,468,Lhemiplegia
497,474,501,467,Lhemiplegia
496,481,492,465,Lhemiplegia
499,482,484,464,Lhemiplegia
509,480,479,484,Lhemiplegia
516,477,476,498,Lhemiplegia
517,473,473,503,Lhemiplegia
518,449,471,507,Lhemiplegia
519,435,469,508,Lhemiplegia
518,427,468,509,Lhemiplegia
518,422,468,510,Lhemiplegia
519,418,466,510,Lhemiplegia
519,416,510,507,Lhemiplegia
513,413,517,507,Lhemiplegia
510,411,516,501,Lhemiplegia
508,408,516,491,Lhemiplegia
506,406,515,482,Lhemiplegia
504,404,514,475,Lhemiplegia
502,416,513,471,Lhemiplegia
501,440,509,468,Lhemiplegia
500,474,498,466,Lhemiplegia
498,481,490,464,Lhemiplegia
502,482,483,481,Lhemiplegia
514,481,478,497,Lhemiplegia
517,478,475,506,Lhemiplegia
517,452,473,509,Lhemiplegia
517,437,471,510,Lhemiplegia
516,427,469,510,Lhemiplegia
516,423,469,510,Lhemiplegia
515,418,490,511,Lhemiplegia
513,416,513,510,Lhemiplegia
509,413,517,507,Lhemiplegia
507,411,516,497,Lhemiplegia
505,406,515,487,Lhemiplegia
503,409,514,477,Lhemiplegia
501,421,512,474,Lhemiplegia
499,463,507,470,Lhemiplegia
499,482,497,467,Lhemiplegia
497,487,488,465,Lhemiplegia
496,485,482,464,Lhemiplegia
508,483,477,489,Lhemiplegia
516,483,474,503,Lhemiplegia
518,465,471,505,Lhemiplegia
518,444,470,507,Lhemiplegia
518,432,469,509,Lhemiplegia
517,425,468,511,Lhemiplegia
514,421,466,511,Lhemiplegia
511,421,505,508,Lhemiplegia
508,416,515,508,Lhemiplegia
506,411,517,499,Lhemiplegia
504,409,515,489,Lhemiplegia
502,405,514,480,Lhemiplegia
500,409,513,474,Lhemiplegia
499,433,510,470,Lhemiplegia
498,473,502,468,Lhemiplegia
