sensor1,sensor2,sensor3,sensor4,labels
499,397,506,490,downstairs
498,398,503,491,downstairs
499,398,493,492,downstairs
520,397,482,490,downstairs
519,398,472,491,downstairs
517,399,465,492,downstairs
516,398,459,492,downstairs
511,399,455,491,downstairs
507,398,451,491,downstairs
504,398,454,489,downstairs
502,403,511,489,downstairs
501,399,513,492,downstairs
499,400,512,492,downstairs
498,399,510,492,downstairs
497,399,509,491,downstairs
495,433,504,491,downstairs
499,510,495,492,downstairs
514,508,487,493,downstairs
516,492,476,492,downstairs
515,471,468,491,downstairs
515,458,462,492,downstairs
514,449,457,502,downstairs
512,442,454,523,downstairs
507,436,451,534,downstairs
505,432,486,535,downstairs
503,431,499,526,downstairs
501,433,498,516,downstairs
499,484,493,507,downstairs
498,501,481,501,downstairs
497,499,470,495,downstairs
496,500,462,492,downstairs
512,500,455,493,downstairs
514,489,452,492,downstairs
513,472,449,500,downstairs
511,461,447,508,downstairs
509,452,446,513,downstairs
506,444,445,517,downstairs
503,439,444,520,downstairs
500,436,475,523,downstairs
499,433,502,524,downstairs
498,431,503,512,downstairs
497,427,503,503,downstairs
496,424,502,497,downstairs
495,420,499,492,downstairs
494,448,493,487,downstairs
493,502,480,485,downstairs
493,499,470,482,downstairs
509,500,463,482,downstairs
515,488,457,483,downstairs
515,473,453,480,downstairs
514,460,450,479,downstairs
514,450,448,478,downstairs
513,442,447,479,downstairs
509,437,445,495,downstairs
505,433,444,513,downstairs
502,429,443,515,downstairs
500,426,443,519,downstairs
499,423,442,521,downstairs
497,421,471,520,downstairs
496,420,505,514,downstairs
495,417,504,504,downstairs
494,415,504,498,downstairs
493,414,503,491,downstairs
493,413,502,487,downstairs
492,412,497,483,downstairs
491,411,487,481,downstairs
518,411,475,480,downstairs
517,407,466,478,downstairs
516,408,461,477,downstairs
515,406,455,477,downstairs
514,405,452,476,downstairs
509,405,449,476,downstairs
505,403,447,476,downstairs
503,403,446,477,downstairs
501,402,444,478,downstairs
499,401,492,477,downstairs
498,401,507,477,downstairs
496,400,506,478,downstairs
495,399,505,479,downstairs
494,399,505,479,downstairs
493,398,502,479,downstairs
492,398,499,479,downstairs
516,397,487,481,downstairs
518,395,477,480,downstairs
517,396,468,480,downstairs
517,395,461,480,downstairs
516,395,457,481,downstairs
513,394,453,481,downstairs
508,394,450,481,downstairs
505,394,461,482,downstairs
502,394,508,482,downstairs
501,393,505,482,downstairs
499,393,504,485,downstairs
497,393,503,484,downstairs
496,393,501,484,downstairs
495,393,494,484,downstairs
518,393,483,486,downstairs
520,392,474,484,downstairs
519,392,466,489,downstairs
518,392,459,486,downstairs
517,392,454,485,downstairs
516,392,451,485,downstairs
516,391,448,485,downstairs
514,392,446,485,downstairs
509,392,445,484,downstairs
506,392,503,486,downstairs
504,393,506,485,downstairs
503,392,505,486,downstairs
501,391,504,486,downstairs
499,391,503,486,downstairs
498,392,501,487,downstairs
496,392,497,487,downstairs
512,393,487,489,downstairs
518,392,476,489,downstairs
517,391,468,487,downstairs
517,392,461,487,downstairs
515,392,456,486,downstairs
513,392,452,487,downstairs
509,392,449,487,downstairs
505,392,449,486,downstairs
503,392,499,487,downstairs
501,392,499,489,downstairs
499,393,495,491,downstairs
497,393,486,490,downstairs
496,393,477,489,downstairs
495,393,467,489,downstairs
517,392,460,492,downstairs
516,393,454,489,downstairs
514,393,450,489,downstairs
513,393,447,489,downstairs
511,394,445,489,downstairs
511,393,444,489,downstairs
508,394,442,488,downstairs
504,394,471,488,downstairs
502,396,506,489,downstairs
501,395,507,489,downstairs
499,395,505,491,downstairs
497,395,504,493,downstairs
496,396,501,490,downstairs
494,396,498,490,downstairs
494,396,487,491,downstairs
518,395,477,492,downstairs
516,395,468,489,downstairs
515,395,461,489,downstairs
515,396,456,490,downstairs
513,396,452,490,downstairs
512,396,449,489,downstairs
509,395,446,488,downstairs
505,396,487,489,downstairs
502,397,508,490,downstairs
501,395,507,490,downstairs
499,396,506,490,downstairs
498,397,505,490,downstairs
496,396,503,490,downstairs
495,397,500,490,downstairs
494,397,492,490,downstairs
493,396,480,491,downstairs
516,396,471,490,downstairs
516,396,464,503,downstairs
515,396,458,511,downstairs
514,397,453,513,downstairs
513,396,451,524,downstairs
509,397,448,528,downstairs
504,398,504,531,downstairs
503,399,506,520,downstairs
501,399,504,509,downstairs
