sensor1,sensor2,sensor3,sensor4,labels
492,515,492,454,walk
502,515,482,452,walk
514,509,478,452,walk
515,500,475,471,walk
516,493,471,491,walk
514,487,469,499,walk
507,481,468,504,walk
501,477,465,508,walk
499,474,465,510,walk
498,472,513,507,walk
496,503,514,491,walk
495,510,516,479,walk
494,512,514,470,walk
493,512,511,464,walk
492,512,501,459,walk
492,516,490,456,walk
512,510,483,455,walk
516,501,478,453,walk
517,492,474,451,walk
516,486,471,460,walk
515,482,469,482,walk
509,476,466,500,walk
503,472,465,509,walk
501,470,505,508,walk
498,494,516,495,walk
496,504,516,481,walk
496,509,515,470,walk
495,510,513,464,walk
494,512,510,459,walk
493,515,498,456,walk
505,515,488,453,walk
515,506,482,452,walk
516,497,477,455,walk
516,489,475,475,walk
514,484,471,493,walk
509,479,469,505,walk
502,475,467,511,walk
500,471,512,509,walk
498,496,518,494,walk
496,502,517,480,walk
495,506,516,471,walk
494,508,513,464,walk
493,510,510,459,walk
492,513,497,456,walk
509,514,487,453,walk
517,504,482,455,walk
516,495,477,453,walk
516,488,474,478,walk
514,483,471,493,walk
507,478,470,502,walk
502,474,467,507,walk
500,472,503,505,walk
498,499,513,491,walk
496,507,513,478,walk
495,508,511,469,walk
494,509,506,463,walk
494,512,494,458,walk
492,512,484,454,walk
514,511,479,453,walk
517,501,475,454,walk
516,492,471,460,walk
514,486,468,491,walk
508,481,468,508,walk
502,476,464,512,walk
500,473,465,515,walk
498,470,516,508,walk
496,492,518,493,walk
495,498,518,481,walk
494,503,516,472,walk
494,508,516,464,walk
493,512,512,460,walk
493,514,499,456,walk
514,510,489,455,walk
517,501,483,454,walk
517,493,478,452,walk
516,485,475,469,walk
514,480,474,491,walk
508,476,470,505,walk
502,472,468,508,walk
500,469,503,508,walk
498,494,513,494,walk
496,504,514,481,walk
495,508,512,471,walk
494,509,511,464,walk
493,511,506,458,walk
493,514,493,455,walk
505,514,483,453,walk
517,505,479,453,walk
516,496,475,454,walk
516,488,472,491,walk
511,483,469,497,walk
504,478,467,502,walk
500,473,466,506,walk
499,471,495,508,walk
497,486,511,494,walk
495,503,514,483,walk
494,506,513,473,walk
493,509,512,466,walk
493,510,509,460,walk
493,512,497,456,walk
503,514,487,454,walk
514,505,481,455,walk
516,496,477,462,walk
516,489,474,476,walk
514,482,471,493,walk
509,479,468,502,walk
502,473,466,510,walk
500,471,503,511,walk
498,495,516,497,walk
496,505,515,483,walk
495,509,513,473,walk
494,510,510,466,walk
493,512,503,460,walk
493,514,491,457,walk
507,513,483,454,walk
516,504,479,457,walk
516,494,474,462,walk
515,488,472,474,walk
513,483,469,485,walk
507,477,466,495,walk
501,474,465,503,walk
499,471,507,501,walk
498,506,515,488,walk
497,509,514,476,walk
495,510,514,467,walk
494,510,511,460,walk
494,512,508,457,walk
493,518,496,453,walk
509,517,487,452,walk
515,503,480,452,walk
515,495,476,458,walk
512,488,474,484,walk
505,481,471,495,walk
501,477,468,503,walk
498,473,466,505,walk
497,470,509,504,walk
495,496,514,487,walk
495,503,513,475,walk
493,507,512,467,walk
492,509,510,460,walk
492,511,505,456,walk
492,514,492,454,walk
514,508,484,454,walk
516,500,478,452,walk
516,492,475,454,walk
514,486,471,482,walk
510,479,469,500,walk
502,475,466,505,walk
500,472,486,510,walk
498,484,516,496,walk
496,503,516,484,walk
495,505,514,472,walk
494,509,513,465,walk
493,510,509,459,walk
492,516,500,456,walk
511,518,489,453,walk
516,503,482,453,walk
516,494,478,457,walk
516,486,474,478,walk
512,481,471,497,walk
506,476,469,509,walk
502,472,468,510,walk
499,470,518,498,walk
497,497,518,485,walk
496,505,514,474,walk
494,507,511,465,walk
494,510,510,460,walk
493,512,498,456,walk
504,513,488,453,walk
514,504,481,453,walk
516,496,478,468,walk
514,488,474,485,walk
510,482,471,498,walk
503,477,469,501,walk
499,473,466,508,walk
497,469,500,506,walk
496,479,515,495,walk
495,500,515,482,walk
494,507,514,472,walk
493,509,511,465,walk
492,510,508,460,walk
492,513,501,456,walk
501,513,490,453,walk
514,508,483,453,walk
515,499,478,464,walk
515,491,474,484,walk
512,484,471,495,walk
505,479,468,502,walk
500,475,467,509,walk
498,471,466,509,walk
497,469,513,500,walk
495,496,514,488,walk
494,507,513,477,walk
493,507,511,469,walk
493,509,506,462,walk
492,512,492,458,walk
496,513,484,455,walk
516,506,479,453,walk
516,496,475,451,walk
516,488,472,454,walk
514,482,469,475,walk
511,478,467,492,walk
503,473,464,501,walk
500,470,500,507,walk
498,494,513,493,walk
497,504,514,480,walk
495,508,513,470,walk
494,508,511,463,walk
493,510,509,458,walk
492,512,503,455,walk
503,514,491,452,walk
515,508,483,452,walk
516,499,479,454,walk
516,491,475,465,walk
514,485,472,485,walk
509,480,468,498,walk
502,475,467,509,walk
500,472,492,508,walk
498,473,516,498,walk
496,500,516,484,walk
495,506,514,474,walk
494,507,512,466,walk
493,509,506,460,walk
493,513,494,456,walk
505,513,484,453,walk
516,504,480,454,walk
516,495,476,453,walk
515,488,473,482,walk
510,482,470,496,walk
503,477,466,504,walk
499,473,466,512,walk
497,470,494,509,walk
496,490,512,498,walk
495,502,511,485,walk
494,505,511,474,walk
493,506,509,467,walk
493,509,507,461,walk
491,511,495,458,walk
505,512,486,454,walk
517,505,480,454,walk
516,495,476,452,walk
515,487,472,458,walk
